sample,Hash,nReads
Apr18_P4_57.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,14706
Apr18_P28_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,615
Sep17_P8_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,70
Sep17_P28_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,29
Apr18_P28_10.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1615
Sep17_P22_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5
Apr18_P38_98.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,41
Sep17_P402_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7
Sep17_P22_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,59
Sep17_P28_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,56
Apr18_P22_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7960
Apr18_P4_57.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4186
Sep17_P8_121.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,227
Sep17_P22_86.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,24
Apr18_P1_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,70
Sep17_P12_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1132
Sep17_P12_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,15
Sep17_P38_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,63
Apr18_P1_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,58
Apr18_P4_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5466
Sep17_P38_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,102
Apr18_P12_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2688
Apr18_P22_105.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1221
Sep17_P28_86.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,14
Apr18_P12_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,27365
Sep17_P28_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,11
Sep17_P22_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,29
Sep17_P28_86.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9
Apr18_P22_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2155
Apr18_P12_120.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9
Sep17_P12_115.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,68
Sep17_P12_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,288
Apr18_P4_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,28
Apr18_P28_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,389
Apr18_P22_105.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1107
Apr18_P8_122.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,12416
Apr18_P22_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8343
Sep17_P28_86.12,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10
Apr18_P28_191.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,194
Sep17_P38_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,41
Apr18_P38_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,47
Sep17_P12_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,937
Apr18_P4_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,100
Sep17_P28_10.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,253
Sep17_P22_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4
Sep17_P22_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,99
Sep17_P402_43.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9
Sep18_P12_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10201
Apr18_P8_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7721
Apr18_P402_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,22364
Sep18_P402_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,837
Sep18_P11_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,637
Apr18_P1_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,153
Apr18_P4_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,139
Sep18_P14_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,6521
Sep18_P12_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,235
Apr18_P38_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,469
Apr18_P12_120.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,26
Apr18_P12_120.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,24
Sep18_P11_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1329
Apr18_P38_98.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,94
Sep18_P402_43.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,398
Sep18_P402_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,6
Apr18_P402_52.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2440
Apr18_P22_105.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2056
Apr18_P12_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,11956
Apr18_P4_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,936
Apr18_P38_98.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,30
Apr18_P22_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8005
Sep18_P11_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5971
Sep18_P14_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2867
Sep18_P14_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4087
Apr18_P4_57.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,405
Apr18_P402_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3047
Apr18_P8_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1753
Sep18_P402_43.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,802
Sep18_P14_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,822
Apr18_P12_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10640
Apr18_P38_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,70
