representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
f6b896d380dfc9c49f3c6dd6b362268cb36b99ae,2759,Eukaryota,superkingdom,0.9969,NA,NA,NA,NA,NA,NA,NA
f6d8419fb1bae74e6b47e71e101be681b3cad570,2759,Eukaryota,superkingdom,0.9953,NA,NA,NA,NA,NA,NA,NA
f8acf976c9439fb56f10ccf667889f6aacff9f78,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
f8cc939e969331c93d31ef139a62816b20d1e395,2759,Eukaryota,superkingdom,0.9767,NA,NA,NA,NA,NA,NA,NA
1800e7d7a03d648490ed894f3c19e2eebb1a60d8,2759,Eukaryota,superkingdom,0.9959,NA,NA,NA,NA,NA,NA,NA
391312bf9c2c070b0d1afdbc609959fec1c1773a,2836,Bacillariophyta,phylum,0.9996,NA,Bacillariophyta,NA,NA,NA,NA,NA
3feebdc7e9e6f6d249ba7c7af46abaa0f8956b4f,2759,Eukaryota,superkingdom,0.926,NA,NA,NA,NA,NA,NA,NA
41d5575a584a3dc99583f61f1bf2ce9e13271b49,2836,Bacillariophyta,phylum,0.9998,NA,Bacillariophyta,NA,NA,NA,NA,NA
4356aed71d47fc63bf9a263c2342c31b770d2dd2,2759,Eukaryota,superkingdom,0.9317,NA,NA,NA,NA,NA,NA,NA
65f34abe7b2b761c4ef0ad75b8e1ee48d3638e43,2864,Dinophyceae,class,0.9074,NA,NA,Dinophyceae,NA,NA,NA,NA
7236e50def7a5ec9163f88b1677fd8e60f942642,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
73aa72fd19155c778291c51ba9b450d43bb340e9,2759,Eukaryota,superkingdom,0.9946,NA,NA,NA,NA,NA,NA,NA
7b38367c269d576ddc878ac1c307059b4a28eb29,2759,Eukaryota,superkingdom,0.9991,NA,NA,NA,NA,NA,NA,NA
7bb9a2005c9cb37888b0847a0e9636e34c1de988,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
94b1c919a4b759036c524566c1207f22fa4d40c9,2830,Haptophyceae,class,0.9999,NA,NA,Haptophyceae,NA,NA,NA,NA
b9e82298bdb5889cf6a09180286d947d8f73f522,2759,Eukaryota,superkingdom,0.9917,NA,NA,NA,NA,NA,NA,NA
f14dcb3a079b3b7590e2166cb50f82b68d30f5b2,2759,Eukaryota,superkingdom,0.9959,NA,NA,NA,NA,NA,NA,NA
f2c557df3514fc8e0ed431a8826155df05706c32,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
fd63a901ba828866cb43cc57a86c20fe2acaec1c,2759,Eukaryota,superkingdom,0.9941,NA,NA,NA,NA,NA,NA,NA
030cdede52d1bc407379cf53eb7a3b4a8322a616,2759,Eukaryota,superkingdom,0.976,NA,NA,NA,NA,NA,NA,NA
102e923956681f553315a1b276228470b5c1a16f,2759,Eukaryota,superkingdom,0.988,NA,NA,NA,NA,NA,NA,NA
135564e9c33f7abcb19bbdbfc571af0ea2c77f82,2759,Eukaryota,superkingdom,0.9991,NA,NA,NA,NA,NA,NA,NA
13d7d30165fd53a9e5180c421b4a49805e77f37f,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
15cddc075c92217ef93bc66bdc48f9244414e899,131567,cellular organisms,no rank,1,NA,NA,NA,NA,NA,NA,NA
19539615876130c158b19da6d155fd35cfec61b9,2759,Eukaryota,superkingdom,0.9998,NA,NA,NA,NA,NA,NA,NA
1f82276937907e5c137388f319f6be489d902eff,2759,Eukaryota,superkingdom,0.9181,NA,NA,NA,NA,NA,NA,NA
237b10c5a4e852622e815af2fe3f7263bd1d59cb,131567,cellular organisms,no rank,1,NA,NA,NA,NA,NA,NA,NA
2830957c9f93454b15f8381a54bc0569dd987ffa,2759,Eukaryota,superkingdom,0.9288,NA,NA,NA,NA,NA,NA,NA
2a78e423866a5c361be808e227ebf1f97b9119f1,2759,Eukaryota,superkingdom,0.999,NA,NA,NA,NA,NA,NA,NA
2d532a421852a0377dbc758ad6085672635fbccf,2759,Eukaryota,superkingdom,0.9977,NA,NA,NA,NA,NA,NA,NA
2f5723a58d69dbcde6737abcbcb6e2a3d0455382,33630,Alveolata,no rank,1,NA,NA,NA,NA,NA,NA,NA
30412b790f0abc180655a516e2a90ff0b554fc29,2759,Eukaryota,superkingdom,0.9992,NA,NA,NA,NA,NA,NA,NA
31973166459e240fc4763b6724e6c06b73487666,121148,Acartia,genus,0.9995,Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,NA
34cdf55b1b94725a122f2926508a29ed60aea543,33634,Stramenopiles,no rank,0.9881,NA,NA,NA,NA,NA,NA,NA
3b80e4f657b0d717e532b390e0ecd054c343baca,131567,cellular organisms,no rank,0.9998,NA,NA,NA,NA,NA,NA,NA
3c94788621a6903acba45519bf310957a9bea20e,1,root,no rank,1,NA,NA,NA,NA,NA,NA,NA
43c50ccbfbcc8a542c69a481e4967592987f6133,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
58acce8ecd5b71d5a9af5a20e6ff6987d355e040,2759,Eukaryota,superkingdom,0.9985,NA,NA,NA,NA,NA,NA,NA
5ba544241c7bca34da699e606f1242a9e8e857ce,2759,Eukaryota,superkingdom,0.992,NA,NA,NA,NA,NA,NA,NA
5ea22f56687a136b013ec3af615802753683e996,2759,Eukaryota,superkingdom,0.9979,NA,NA,NA,NA,NA,NA,NA
60b75e5357c65a3ee9e9f91593d1ac6dee39b1d4,2759,Eukaryota,superkingdom,0.9987,NA,NA,NA,NA,NA,NA,NA
